371,The Line,,91,DVD (TV-Movie),,,
372,The One,,81,DVD (TV-Movie),,,
373,The Return Of The Pink Panther,,,DVD (Silverdisc),,,
374,The Rock,,,DVD,,,
375,The Score,,,DVD (Silverdisc),,,
376,The Sentinel,Wem kannst Du trauen ?,,DVD,,,
377,The Third Wave,Die Verschwörung,114,DVD (TV-Movie),,,
378,The Transporter,,,BluRay,,,
379,The Transporter 3,,,BluRay,,,
380,The Transporter: The Mission,,,BluRay,,,
381,The Untouchables,Die Unbestechlichen,115,DVD (TV-Movie),,,
382,The Weather Man,,,DVD,,,
383,The Wedding-Singer,,,DVD (Silverdisc),,,
384,Three Kings,,,DVD,,,
385,Timeline,,,DVD (Silverdisc),,,
386,Tödliche Diamanten,Ein perfekter Raub,93,DVD (TV-Movie),,,
387,Tödliche Entscheidung,,112,DVD (TV-Movie),,,
388,Tödliche Versprechen,,97,DVD (TV-Movie),,,
389,Tödliches Vertrauen,,86,DVD (TV-Movie),,,
390,Tomb Raider,Die Wiege des Lebens,117,DVD (TV-Movie),,,
391,Toy Story,,,DVD,,,
392,Toy Story 2,,,DVD,,,
393,Traffic,,,DVD (Silverdisc),,,
394,Training Day,,,DVD,,,
395,Trainspotting,,,DVD,,,
396,Tränen der Sonne,,,DVD (Silverdisc),,,
397,Traumschiff Surprice Periode 1,,,DVD (Silverdisc),,,
398,Trauzeuge gesucht,,,BluRay,,,
399,Tropic Thunder,,,BluRay,,,
400,Twisted,,93,DVD (TV-Movie),,,
401,Two Weeks Notice,,,DVD (Silverdisc),,,
402,Under Suspicion,Mörderisches Spiel,,DVD (Silverdisc),,,
403,Underworld,,116,DVD (TV-Movie),,,
404,Unsere Erde,,,BluRay,,,
405,Unstoppable,Ausser Kontrolle,,BluRay,,,
406,Unterwegs mit Jungs,,,DVD (Silverdisc),,,
407,Vengeance,,99,DVD (TV-Movie),,,
408,Verhandlungssache,,134,DVD (TV-Movie),,,
409,Verlockende Falle,,108,DVD (TV-Movie),,,
410,Von Löwen Und Lämmern,,,DVD,,,
411,Wall Street,,,DVD,,,
412,Wallace & Gromit,The complete collection,,BluRay,,,
413,Wallstreet 1 & 2,,,BluRay,,,
414,Was Frauen wollen,,,DVD (Silverdisc),,,
415,Wasabi,Ein Bulle in Japan,90,DVD (TV-Movie),,,
416,Wehrlos,,,DVD (Silverdisc),,,
417,Where The Money Is,Ein heißer Coup,85,DVD (TV-Movie),,,
418,Wie im Himmel,,,DVD,,,
419,Wie werde ich ihn los in 10 Tagen,,,DVD (Silverdisc),,,
420,Wie werde ich ihn los in 10 Tagen,,,DVD,,,
421,Wo ist Fred ?,,107,DVD (TV-Movie),,,
422,"Woher weisst Du, dass es Liebe ist ?",,,BluRay,,,
423,X-Men,,,DVD,,,
424,X-Men 2,,,DVD,,,
425,X-Men 3,Der letzte Widerstand,,DVD,,,
426,XXX,,,DVD,,,
427,XXX The next level,,,DVD,,,
428,Zoolander,,85,DVD (TV-Movie),,,
429,Zusammen ist man weniger allein,,,DVD,,,
430,Zwei glorreiche Hallunken,,,DVD,,,
431,ZweiOhrKüken,,,BluRay,,,
432,Zwölf Runden,Extended version,105,DVD (TV-Movie),,,
433,Die Firma,,,VideoCD,,,
434,Ein Offizier und Gentleman,,,VideoCD,,,
435,Silver,,,VideoCD,,,
436,Star Trek,Treffen der Generationen,,VideoCD,,,
437,Star Trek III,Auf der Suche nach Mr. Spock,,VideoCD,,,
438,Star Trek II,Der Zorn des Khan,,VideoCD,,,
439,Star Trek I,,,VideoCD,,,
440,Das Kartell,,,VideoCD,,,
441,Jagd auf Roter Oktober,,,VideoCD,,,
442,Schlafes Bruder,,,VideoCD,,,
443,Mit stälerner Faust,,,VideoCD,,,
444,Top Gun,,,VideoCD,,,
445,Star Wars Episode V,The Empire Strikes Back,,DVD (Silverdisc),,,
446,Star Wars Episode VI,Return Of The Jedi,,DVD (Silverdisc),,,
447,The Jacket,,99,DVD (TV-Movie),,,
448,Kick It Like Beckham,,112,DVD (TV-Movie),,,
449,Philadelphia,,,DVD (Silverdisc),,,
450,Gettysburgh,,,DVD (Silverdisc),,,
451,Alamo,,,DVD (Silverdisc),,,
452,Rio Lobo,,,DVD (Silverdisc),,,
453,Indiana Jones: Der letzte Kreuzzug,,,DVD (Silverdisc),,,
454,Indiana Jones und der Tempel des Todes,,,DVD (Silverdisc),,,
455,Indiana Jones: Jäger des verlorenen Schatzes,,,DVD (Silverdisc),,,
456,Die Ritter der Tafelrunde,,,DVD (Silverdisc),,,
457,Gods and Generals,,,DVD (Silverdisc),,,
458,Die Firma,,,DVD (Silverdisc),,,
459,Michael Collins,,,DVD (Silverdisc),,,
460,Der 13. Krieger,,,DVD (Silverdisc),,,
461,A.I. Künstliche Intelligenz,,,DVD (Silverdisc),,,
462,Die Akte,,,DVD (Silverdisc),,,
463,Top Gun,,,DVD (Silverdisc),,,
464,One Bridge Too Far,,,DVD (Silverdisc),,,
465,Das Boot,Directors Cut,,DVD (Silverdisc),,,
466,Blues Brothers,,,DVD (Silverdisc),,,
467,James Bond: Golden Eye,,,DVD (Silverdisc),,,
468,Die Reise des jungen Ché,,,DVD (Silverdisc),,,
469,Die Wiege der Sonne,,124,DVD (TV-Movie),,,
470,Resident Evil,,96,DVD (TV-Movie),,,
471,Open Range,,133,DVD (TV-Movie),,,
472,Pulp Fiction,,148,DVD (TV-Movie),,,
473,Sky Fighters,,97,DVD (TV-Movie),,,
474,Mindhunters,,102,DVD (TV-Movie),,,
475,Fräulein Smillas Gespühr für Schnee,,,DVD (Silverdisc),,,
476,Black Hawk Down,,,DVD (Silverdisc),,,
477,Stunde der Patrioten,,,DVD (Silverdisc),,,
478,A Beautiful Mind,,,DVD (Silverdisc),,,
479,Spiel mir das Lied vom Tod,,,DVD (Silverdisc),,,
480,Das dreckige Duzend,,,DVD (Silverdisc),,,
481,Die Jury,,,DVD (Silverdisc),,,
482,Beverly Hills Cop,,,DVD (Silverdisc),,,
483,Beverly Hills Cop 2,,,DVD (Silverdisc),,,
484,Vera Cruz,,,DVD (Silverdisc),,,
485,Catch Me If You Can,,,DVD (Silverdisc),,,
486,Stadt der Engel,,,DVD (Silverdisc),,,
487,Der Klient,,,DVD (Silverdisc),,,
488,Der Club der Toten Dichter,,,DVD (Silverdisc),,,
489,Glory,,,DVD (Silverdisc),,,
490,Pretty Woman,,,DVD (Silverdisc),,,
491,Glauben ist alles,,,DVD (Silverdisc),,,
492,Sister Act,,,DVD (Silverdisc),,,
493,50 erste Dates,,,DVD (Silverdisc),,,
494,Während Du schliefst,,,DVD (Silverdisc),,,
495,Mars Attacks,,,DVD (Silverdisc),,,
496,American Pie,,,DVD (Silverdisc),,,
497,Mickey Blue Eyes,,,DVD (Silverdisc),,,
498,Das Leben des Bryan,,,DVD (Silverdisc),,,
499,Shrek III,,,DVD (Silverdisc),,,
500,Manche mögen's heiß,,,DVD (Silverdisc),,,
501,Mr. Bean,DVD 1 - 3,,DVD (Silverdisc),,,
502,Die Flucht,,,DVD (Silverdisc),,,
503,Gottes Werk und Teufels Beitrag,,,DVD (Silverdisc),,,
504,Braveheart,,,DVD (Silverdisc),,,
505,Gladiator,,,DVD (Silverdisc),,,
506,Luther,,,DVD (Silverdisc),,,
507,Das merkwürdige Verhalten geschlechtsreifer,Großstädter zur Paarungszeit,,DVD (Silverdisc),,,
508,Instinct,,,DVD (Silverdisc),,,
509,Notting Hill,,,DVD (Silverdisc),,,
510,Good Will Hunting,,,DVD (Silverdisc),,,
511,About Schmidt,,,DVD (Silverdisc),,,
512,Zugvögel,,,DVD (Silverdisc),,,
513,Ocean's 12,,,DVD (Silverdisc),,,
514,Wild Things,,,DVD (Silverdisc),,,
515,Tote tragen keine Karos,,,DVD (Silverdisc),,,
516,Das Netz,,,DVD (Silverdisc),,,
517,Panic Room,,,DVD (Silverdisc),,,
518,Die Verurteilten,,,DVD (Silverdisc),,,
519,Windtalkers,,,DVD (Silverdisc),,,
520,Der Patriot,,,DVD (Silverdisc),,,
521,Lola rennt,,,DVD (Silverdisc),,,
522,Schokolade zum Frühstück,,,DVD (Silverdisc),,,
523,Poseidon,,,DVD (Silverdisc),,,
524,Wir waren Helden,,,DVD (Silverdisc),,,
525,Die Echolon Verschwörung,Sicherheit hat ihren Preis,101,DVD,,,
526,Abwärts,,83,DVD,,X,
527,Rio,,92,DVD,,,
528,What A Man,,91,DVD,,X,
529,X-Men: Erste Entscheidung,,126,DVD,,X,
530,The Tourist,Traue niemals einer schönen Fremden,99,DVD,,X,
531,Black Swan,,104,DVD,,X,
532,Bad Teacher,"Was Du von ihr lernst, steht in keinem Buch",94,DVD,,,
533,Schimanski: Zahn um Zahn,,91,DVD,,,
534,Schimanski: Zabou,,102,DVD,,,
535,Oxford Murders,,104,DVD (TV-Movie),,X,
536,Tödliches Kommando,The Hurt Locker,131,BluRay (TV-Movie),,X,
537,Traitor,,110,DVD (TV-Movie),,X,
538,Point Blank,Aus kurzer Distanz,85,BluRay (TV-Movie),,,
539,Mr. Brooks,Der Mörder in Dir,115,BluRay (TV-Movie),,X,
540,Shutter Island,Diese Insel wirst Du nie verlassen,138,BluRay (TV-Movie),,X,
541,Hitman,Jeder stirbt alleine,86,DVD (TV-Movie),,X,
542,600 Kilo Pures Gold,Apokalypse im Dschungel,95,BluRay,,X,
543,72 Stunden,The Next Three Days,133,BluRay,,,
544,Léon – Der Profi,Ultimate Edition,133,BluRay,,,
545,Pakt der Rache,,105,BluRay,,,
546,Blitz,Cop-Killer vs. Killer-Cop,98,BluRay,,X,
547,Planet der Affen,Prevolution,105,BluRay,,X,
548,Mission Impossible: Phantom Protokoll,,133,BluRay,,,
549,Gesetz der Rache,"Ein Mann, der alles verloren hat, ist zu allem fähig",108,BluRay,,,
550,The Expendables,Extended Director's Cut,114,BluRay,,,
